id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	always_hide	array_filter	date_max	date_min	dropdown_dates	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	exclude_all_others	hide_tip	max_answers	max_num_value_n	maximum_chars	min_answers	min_num_value_n	other_replace_text
		SQ	0	SQ001		Bilan de santé général		fr																							
		SQ	0	SQ002		Visite chez le dentiste		fr																							
		SQ	0	SQ003		Examen des yeux		fr																							
		SQ	0	SQ004		Analyse de sang		fr																							
		SQ	0	SQ005		Vaccination		fr																							
		Q	E	change12m		<p>Au cours des 12 derniers mois, chaque élément a-t-il augmenté, est resté stable ou diminué ?</p>		fr																							
		SQ	0	SQ001		Niveau d'activité physique		fr																							
		SQ	0	SQ002		Niveau de stress		fr																							
		SQ	0	SQ003		Bonheur général		fr																							
		SQ	0	SQ004		Qualité de l'alimentation		fr																							
		Q	1	impsat		<p>Évaluez l'IMPORTANCE et la SATISFACTION pour chaque élément :</p>		fr																							
		SQ	0	SQ001		Forme physique		fr																							
		SQ	0	SQ002		Santé mentale		fr																							
		SQ	0	SQ003		Qualité du sommeil		fr																							
		SQ	0	SQ004		Nutrition		fr																							
		A	0	A1		Pas important		fr																							
		A	0	A2		Légèrement		fr																							
		A	0	A3		Modérément		fr																							
		A	0	A4		Très important		fr																							
		A	1	A1		Très insatisfait(e)		fr																							
		A	1	A2		Insatisfait(e)		fr																							
		A	1	A3		Satisfait(e)		fr																							
		A	1	A4		Très satisfait(e)		fr																							
		Q	R	healthpriorities		<p>Classez vos objectifs de santé par ordre de priorité :</p>		fr																							
		SQ	0	SQ001		Perdre du poids		fr																							
		SQ	0	SQ002		Développer la force		fr																							
		SQ	0	SQ003		Améliorer le sommeil		fr																							
		SQ	0	SQ004		Réduire le stress		fr																							
		SQ	0	SQ005		Manger plus sainement		fr																							
		SQ	0	SQ006		Arrêter de fumer / réduire l'alcool		fr																							
		SQ	0	SQ007		Améliorer la santé mentale		fr																							
		G		advanced		<p>Section 5 : Détails supplémentaires</p>		fr																							
		Q	M	chronic		<p>Avez-vous reçu un diagnostic de maladies chroniques ?</p>		fr																							
		SQ	0	SQ001		Diabète		fr																							
		SQ	0	SQ002		Hypertension		fr																							
		SQ	0	SQ003		Maladie cardiaque		fr																							
		SQ	0	SQ004		Asthme		fr																							
		SQ	0	SQ005		Arthrite		fr																							
		SQ	0	NONE		Aucune des réponses ci-dessus		fr																							
		Q	F	conditionmgmt		<p>Dans quelle mesure chaque condition est-elle gérée ?</p>		fr																							
		SQ	0	SQ001		Diabète		fr																							
		SQ	0	SQ002		Hypertension		fr																							
		SQ	0	SQ003		Maladie cardiaque		fr																							
		SQ	0	SQ004		Asthme		fr																							
		SQ	0	SQ005		Arthrite		fr																							
		A	0	A1		Bien géré		fr																							
		A	0	A2		Partiellement		fr																							
		A	0	A3		Mal géré		fr																							
		A	0	A4		Pas du tout		fr																							
		Q	Q	contact		<p>Veuillez fournir vos coordonnées :</p>		fr																							
		SQ	0	SQ001		Prénom		fr																							
		SQ	0	SQ002		Nom de famille		fr																							
		SQ	0	SQ003		Ville		fr																							
		Q	O	healthsource		<p>Quelle est votre principale source d'information sur la santé ?</p>		fr																							
		A	0	A1		Médecin		fr																							
		A	0	A2		Internet		fr																							
		A	0	A3		Réseaux sociaux		fr																							
		A	0	A4		Amis/famille		fr																							
		A	0	A5		Livres/revues		fr																							
		A	0	A6		TV/radio		fr																							
		Q	|	medicaldoc		<p>Téléchargez un rapport médical récent (optionnel) :</p>		fr																							
		G		closing		<p>Section 6 : Questions finales</p>		fr																							
		Q	T	suggestions		<p>Des suggestions pour améliorer les services de santé ?</p>		fr																							
		Q	U	comments		<p>Commentaires ou retours supplémentaires :</p>		fr																							
		Q	K	timealloc		<p>Heures par semaine pour chaque activité (le total doit être de 168) :</p>		fr																							
		SQ	0	SQ001		Sommeil		fr																							
		SQ	0	SQ002		Travail/études		fr																							
		SQ	0	SQ003		Exercice		fr																							
		SQ	0	SQ004		Loisirs		fr																							
		SQ	0	SQ005		Autre		fr																							
		Q	Y	consent		<p>Seriez-vous disposé(e) à être contacté(e) pour un suivi ?</p>		fr																							
		Q	X	closingmsg		<p>Thank you{if(gender=='M',' Mr.',if(gender=='F',' Ms.',''))} for completing this survey.</p><p>{if(consent=='Y','We will contact you at '+email.NAOK+' for follow-up.','No follow-up will be conducted.')}</p>		fr																							
		G		demographics		<p>Secțiunea 1: Date demografice</p>		ro																							
		Q	L	gender		<p>Care este sexul dumneavoastră?</p>		ro																							
		A	0	M		Bărbat		ro																							
		A	0	F		Femeie		ro																							
		A	0	O		Altul		ro																							
		Q	N	age		<p>Care este vârsta dumneavoastră (în ani)?</p>		ro																							
		Q	D	dob		<p>Care este data dumneavoastră de naștere?</p>		ro																							
		Q	!	education		<p>Care este cel mai înalt nivel de educație absolvit?</p>		ro																							
		A	0	A1		Fără educație formală		ro																							
		A	0	A2		Școală primară		ro																							
		A	0	A3		Școală secundară		ro																							
		A	0	A4		Diplomă universitară		ro																							
		A	0	A5		Studii postuniversitare		ro																							
		Q	S	country		<p>În ce țară locuiți în prezent?</p>		ro																							
		Q	S	email		<p>Care este adresa dumneavoastră de e-mail?</p>	<p>Doar pentru scopuri de urmărire</p>	ro																							
		Q	S	phone		<p>Care este numărul dumneavoastră de telefon?</p>	<p>Includeți codul de țară</p>	ro																							
		Q	N	hhsize		<p>Câte persoane locuiesc în gospodăria dumneavoastră (inclusiv dumneavoastră)?</p>		ro																							
		Q	X	infohealth		<p>Următoarele întrebări se referă la comportamentele dumneavoastră legate de sănătate. Vă rugăm să răspundeți sincer.</p>		ro																							
		G		healthbehaviors		<p>Secțiunea 2: Comportamente legate de sănătate</p>		ro																							
		Q	L	smoking		<p>Fumați în prezent tutun?</p>		ro			Y																				
		A	0	A1		Da, zilnic		ro																							
		A	0	A2		Da, ocazional		ro																							
		A	0	A3		Am renunțat		ro																							
		A	0	A4		Nu, nu am fumat niciodată		ro																							
		Q	N	cigsperday		<p>Câte țigări fumați pe zi?</p>		ro																							
		Q	N	yearssmoking		<p>De câți ani fumați (sau ați fumat)?</p>		ro																							
		Q	N	quityear		<p>În ce an ați renunțat la fumat?</p>		ro																							
		Q	Y	alcohol		<p>Consumați băuturi alcoolice?</p>		ro																							
		Q	L	alcoholfreq		<p>Cât de des consumați alcool?</p>		ro																							
		A	0	A1		Zilnic		ro																							
		A	0	A2		De câteva ori pe săptămână		ro																							
		A	0	A3		O dată pe săptămână		ro																							
		A	0	A4		De câteva ori pe lună		ro																							
		A	0	A5		Rar		ro																							
		Q	N	drinkssession		<p>Câte băuturi standard pe sesiune?</p>	<p>1 băutură standard = 1 bere (330ml) / 1 pahar vin (150ml) / 1 shot băuturi spirtoase</p>	ro																							
		Q	M	exercise		<p>Ce activități fizice practicați regulat? (selectați toate variantele aplicabile)</p>		ro			Y																				
		SQ	0	SQ001		Mers pe jos / drumeții		ro																							
		SQ	0	SQ002		Alergare / jogging		ro																							
		SQ	0	SQ003		Înot		ro																							
		SQ	0	SQ004		Ciclism		ro																							
		SQ	0	SQ005		Sporturi de echipă		ro																							
		SQ	0	SQ006		Sală de fitness / antrenament cu greutăți		ro																							
		SQ	0	SQ007		Yoga / Pilates		ro																							
		SQ	0	NONE		Niciunul - nu fac exerciții fizice		ro																							
		Q	L	exercisefreq		<p>De câte ori pe săptămână faceți exerciții fizice?</p>		ro																							
		A	0	A1		O dată		ro																							
		A	0	A2		De 2-3 ori		ro																							
		A	0	A3		De 4-5 ori		ro																							
		A	0	A4		Zilnic		ro																							
		Q	K	bodymeasures		<p>Vă rugăm să introduceți înălțimea și greutatea:</p>		ro																							
		SQ	0	height		Înălțime (cm)		ro																							
		SQ	0	weight		Greutate (kg)		ro																							
		Q	*	bmi		<p>{bodymeasures_weight.NAOK / ((bodymeasures_height.NAOK/100) * (bodymeasures_height.NAOK/100))}</p>		ro																							
		Q	X	bmidisplay		<p>IMC-ul dumneavoastră: <strong>{round(bmi,1)}</strong></p><p>{if(bmi<18.5,'Subponderal',if(bmi<25,'Normal',if(bmi<30,'Supraponderal','Obez')))}</p>		ro																							
		G		nutrition		<p>Secțiunea 3: Nutriție și alimentație</p>		ro																							
		Q	F	dietfreq		<p>Cât de des consumați următoarele alimente?</p>	<p>Selectați o opțiune pe rând</p>	ro																							
		SQ	0	SQ001		Fructe proaspete		ro																							
		SQ	0	SQ002		Legume proaspete		ro																							
		SQ	0	SQ003		Cereale integrale		ro																							
		SQ	0	SQ004		Carne roșie		ro																							
		SQ	0	SQ005		Fast-food		ro																							
		SQ	0	SQ006		Băuturi cu zahăr		ro																							
		SQ	0	SQ007		Produse lactate		ro																							
		A	0	A1		Zilnic		ro																							
		A	0	A2		De câteva ori/săptămână		ro																							
		A	0	A3		O dată pe săptămână		ro																							
		A	0	A4		De câteva ori/lună		ro																							
		A	0	A5		Rar/Niciodată		ro																							
		Q	N	waterglasses		<p>Câte pahare de apă beți pe zi?</p>		ro																							
		Q	5	mealsregular		<p>Cât de regulat consumați trei mese principale pe zi? (1=Niciodată, 5=Întotdeauna)</p>		ro																							
		Q	P	allergies		<p>Aveți alergii sau intoleranțe alimentare? (selectați și adăugați detalii)</p>		ro			Y																				
		SQ	0	SQ001		Gluten		ro																							
		SQ	0	SQ002		Lactoză/Lactate		ro																							
		SQ	0	SQ003		Nuci		ro																							
		SQ	0	SQ004		Fructe de mare		ro																							
		SQ	0	SQ005		Niciuna		ro																							
		Q	K	mealpct		<p>Ce procent din mese provine din fiecare sursă?</p>	<p>Totalul trebuie să fie 100%</p>	ro																							
		SQ	0	SQ001		Gătit acasă		ro																							
		SQ	0	SQ002		Restaurant		ro																							
		SQ	0	SQ003		La pachet/livrare		ro																							
		SQ	0	SQ004		Cantină		ro																							
		G		wellbeing		<p>Secțiunea 4: Bunăstare și satisfacție</p>		ro																							
		Q	A	wellbeing5pt		<p>Evaluați acordul dumneavoastră (1=Total dezacord, 5=Total acord):</p>		ro																							
		SQ	0	SQ001		Sunt mulțumit/ă de sănătatea mea generală		ro																							
		SQ	0	SQ002		Dorm suficient		ro																							
		SQ	0	SQ003		Gestionez eficient stresul		ro																							
		SQ	0	SQ004		Mă simt energic/ă în majoritatea zilelor		ro																							
		SQ	0	SQ005		Mențin un echilibru între muncă și viață personală		ro																							
		Q	C	healthcheck		<p>Ați efectuat următoarele în ultimele 12 luni?</p>		ro																							
		SQ	0	SQ001		Control medical general		ro																							
		SQ	0	SQ002		Vizită la dentist		ro																							
		SQ	0	SQ003		Examen oftalmologic		ro																							
		SQ	0	SQ004		Analiză de sânge		ro																							
		SQ	0	SQ005		Vaccinare		ro																							
		Q	E	change12m		<p>În ultimele 12 luni, fiecare element a crescut, a rămas la fel sau a scăzut?</p>		ro																							
		SQ	0	SQ001		Nivelul activității fizice		ro																							
		SQ	0	SQ002		Nivelul de stres		ro																							
		SQ	0	SQ003		Fericirea generală		ro																							
		SQ	0	SQ004		Calitatea alimentației		ro																							
		Q	1	impsat		<p>Evaluați IMPORTANȚA și SATISFACȚIA pentru fiecare element:</p>		ro																							
		SQ	0	SQ001		Condiție fizică		ro																							
		SQ	0	SQ002		Sănătate mintală		ro																							
		SQ	0	SQ003		Calitatea somnului		ro																							
		SQ	0	SQ004		Nutriție		ro																							
		A	0	A1		Neimportant		ro																							
		A	0	A2		Puțin		ro																							
		A	0	A3		Moderat		ro																							
		A	0	A4		Foarte important		ro																							
		A	1	A1		Foarte nemulțumit/ă		ro																							
		A	1	A2		Nemulțumit/ă		ro																							
		A	1	A3		Mulțumit/ă		ro																							
		A	1	A4		Foarte mulțumit/ă		ro																							
		Q	R	healthpriorities		<p>Clasificați obiectivele de sănătate în ordinea priorității:</p>		ro																							
		SQ	0	SQ001		Scădere în greutate		ro																							
		SQ	0	SQ002		Dezvoltarea forței		ro																							
		SQ	0	SQ003		Îmbunătățirea somnului		ro																							
		SQ	0	SQ004		Reducerea stresului		ro																							
		SQ	0	SQ005		Alimentație mai sănătoasă		ro																							
		SQ	0	SQ006		Renunțare la fumat / reducerea alcoolului		ro																							
		SQ	0	SQ007		Îmbunătățirea sănătății mintale		ro																							
		G		advanced		<p>Secțiunea 5: Detalii suplimentare</p>		ro																							
		Q	M	chronic		<p>Vi s-a diagnosticat vreo afecțiune cronică?</p>		ro																							
		SQ	0	SQ001		Diabet		ro																							
		SQ	0	SQ002		Hipertensiune		ro																							
		SQ	0	SQ003		Boală cardiacă		ro																							
		SQ	0	SQ004		Astm		ro																							
		SQ	0	SQ005		Artrită		ro																							
		SQ	0	NONE		Niciunul dintre cele de mai sus		ro																							
		Q	F	conditionmgmt		<p>Cât de bine este gestionată fiecare afecțiune?</p>		ro																							
		SQ	0	SQ001		Diabet		ro																							
		SQ	0	SQ002		Hipertensiune		ro																							
		SQ	0	SQ003		Boală cardiacă		ro																							
		SQ	0	SQ004		Astm		ro																							
		SQ	0	SQ005		Artrită		ro																							
		A	0	A1		Bine gestionată		ro																							
		A	0	A2		Parțial		ro																							
		A	0	A3		Slab gestionată		ro																							
		A	0	A4		Deloc		ro																							
		Q	Q	contact		<p>Vă rugăm să furnizați datele de contact:</p>		ro																							
		SQ	0	SQ001		Prenume		ro																							
		SQ	0	SQ002		Nume de familie		ro																							
		SQ	0	SQ003		Oraș		ro																							
		Q	O	healthsource		<p>Care este principala dumneavoastră sursă de informații despre sănătate?</p>		ro																							
		A	0	A1		Medic		ro																							
		A	0	A2		Internet		ro																							
		A	0	A3		Rețele sociale		ro																							
		A	0	A4		Prieteni/familie		ro																							
		A	0	A5		Cărți/reviste		ro																							
		A	0	A6		TV/radio		ro																							
		Q	|	medicaldoc		<p>Încărcați un raport medical recent (opțional):</p>		ro																							
		G		closing		<p>Secțiunea 6: Întrebări finale</p>		ro																							
		Q	T	suggestions		<p>Sugestii pentru îmbunătățirea serviciilor de sănătate?</p>		ro																							
		Q	U	comments		<p>Comentarii sau observații suplimentare:</p>		ro																							
		Q	K	timealloc		<p>Ore pe săptămână pentru fiecare activitate (totalul trebuie să fie 168):</p>		ro																							
		SQ	0	SQ001		Somn		ro																							
		SQ	0	SQ002		Muncă/studii		ro																							
		SQ	0	SQ003		Exerciții fizice		ro																							
		SQ	0	SQ004		Timp liber		ro																							
		SQ	0	SQ005		Altele		ro																							
		Q	Y	consent		<p>Ați fi dispus/ă să fiți contactat/ă pentru urmărire?</p>		ro																							
		Q	X	closingmsg		<p>Thank you{if(gender=='M',' Mr.',if(gender=='F',' Ms.',''))} for completing this survey.</p><p>{if(consent=='Y','We will contact you at '+email.NAOK+' for follow-up.','No follow-up will be conducted.')}</p>		ro																							
